X_mm,Y_mm,WF_mean_µm
-0.9,1.65,-81.9683
-0.75,1.65,-76.28415
-0.6,1.65,-70.4169
-0.45,1.65,-64.4246
-0.3,1.65,-58.32185
-0.15,1.65,-52.1457
0.0,1.65,-45.90194999999999
0.15,1.65,-39.62619999999999
0.3,1.65,-33.419599999999996
0.45,1.65,-27.291749999999997
0.6,1.65,-21.26325
0.75,1.65,-15.403
0.9,1.65,-9.779399999999999
1.05,1.65,-4.3907
1.2,1.65,0.7315499999999999
1.35,1.65,5.66365
1.5,1.65,10.435450000000003
1.65,1.65,15.100750000000001
1.8,1.65,19.730850000000004
1.95,1.65,24.316749999999995
2.1,1.65,28.915150000000004
2.25,1.65,33.57684999999999
2.4,1.65,38.30469999999999
2.55,1.65,43.17765
2.7,1.65,48.289
2.85,1.65,53.63824999999999
3.0,1.65,59.15805
3.15,1.65,64.82114999999999
3.3,1.65,70.62504999999999
3.45,1.65,76.55165
3.6,1.65,82.58415
3.75,1.65,88.7059
3.9,1.65,94.89595
4.05,1.65,101.1358
4.2,1.65,107.41049999999998
4.35,1.65,113.69770000000001
4.5,1.65,119.99460000000002
4.65,1.65,126.29639999999998
4.8,1.65,132.60765
4.95,1.65,138.92964999999998
5.1,1.65,145.27439999999999
5.25,1.65,151.64984999999996
5.4,1.65,
,1.65,
-5.4,1.5,
-5.25,1.5,
-5.1,1.5,-321.53665000000007
-4.95,1.5,-309.36205
-4.8,1.5,-297.41495
-4.65,1.5,-285.69455000000005
-4.5,1.5,-274.20475
-4.35,1.5,-262.9424
-4.2,1.5,-251.91715
-4.05,1.5,-241.1319
-3.9,1.5,-230.5964
-3.75,1.5,-220.3095
-3.6,1.5,-210.27670000000003
-3.45,1.5,-200.50900000000004
-3.3,1.5,-191.0099
-3.15,1.5,-181.78789999999998
-3.0,1.5,-172.85205
-2.85,1.5,-164.2086
-2.7,1.5,-155.85944999999998
-2.55,1.5,-147.81030000000004
-2.4,1.5,-140.0657
-2.25,1.5,-132.6238
-2.1,1.5,-125.49095000000003
-1.95,1.5,-118.6676
-1.8,1.5,-112.14994999999999
-1.65,1.5,-105.93490000000001
-1.5,1.5,-100.02035
-1.35,1.5,-94.38064999999999
-1.2,1.5,-88.9486
-1.05,1.5,-83.54245
-0.9,1.5,-78.01925000000001
-0.75,1.5,-72.32929999999999
-0.6,1.5,-66.4506
-0.45,1.5,-60.41275
